Instrument_ID,EOM_Date,Fund_Name,Instrument_Type,Fund_Price,Final_Reference_Price,Price_Difference,Price_Source_Flag
AZO,2022-12-31,Applebead,Equities,2466.18,0.0,2466.179931640625,No Reference Price Found
AZO,2023-03-31,Applebead,Equities,2458.15,0.0,2458.14990234375,No Reference Price Found
AZO,2023-08-31,Applebead,Equities,2451.69,0.0,2451.68994140625,No Reference Price Found
AZO,2023-01-31,Applebead,Equities,2438.85,0.0,2438.85009765625,No Reference Price Found
AZO,2023-05-31,Applebead,Equities,2386.84,0.0,2386.840087890625,No Reference Price Found
AZO,2022-09-30,Applebead,Equities,2141.93,0.0,2141.929931640625,No Reference Price Found
CMG,2023-06-30,Wallington,Equities,2139.0,0.0,2139.0,No Reference Price Found
CMG,2023-08-31,Wallington,Equities,2126.27,0.0,2126.27001953125,No Reference Price Found
AZO,2022-08-31,Applebead,Equities,2119.21,0.0,2119.2099609375,No Reference Price Found
CMG,2023-05-31,Wallington,Equities,2076.49,0.0,2076.489990234375,No Reference Price Found
CMG,2023-04-30,Wallington,Equities,2067.62,0.0,2067.6201171875,No Reference Price Found
CMG,2023-07-31,Wallington,Equities,1962.28,0.0,1962.280029296875,No Reference Price Found
CMG,2023-03-31,Wallington,Equities,1708.29,0.0,1708.2900390625,No Reference Price Found
CMG,2023-01-31,Wallington,Equities,1646.38,0.0,1646.3800048828125,No Reference Price Found
CMG,2022-11-30,Wallington,Equities,1626.96,0.0,1626.9599609375,No Reference Price Found
CMG,2022-08-31,Wallington,Equities,1596.8,0.0,1596.800048828125,No Reference Price Found
MTD,2023-01-31,TT_monthly_Trustmind,Equities,1532.92,0.0,1532.9200439453125,No Reference Price Found
MTD,2023-03-31,TT_monthly_Trustmind,Equities,1530.21,0.0,1530.2099609375,No Reference Price Found
CMG,2022-09-30,Wallington,Equities,1502.76,0.0,1502.760009765625,No Reference Price Found
CMG,2022-10-31,Wallington,Equities,1498.33,0.0,1498.3299560546875,No Reference Price Found
MTD,2023-04-30,TT_monthly_Trustmind,Equities,1491.5,0.0,1491.5,No Reference Price Found
CMG,2023-02-28,Wallington,Equities,1491.08,0.0,1491.0799560546875,No Reference Price Found
MTD,2022-11-30,TT_monthly_Trustmind,Equities,1469.56,0.0,1469.56005859375,No Reference Price Found
MTD,2022-12-31,TT_monthly_Trustmind,Equities,1445.45,0.0,1445.449951171875,No Reference Price Found
MTD,2023-02-28,TT_monthly_Trustmind,Equities,1433.71,0.0,1433.7099609375,No Reference Price Found
CMG,2022-12-31,Wallington,Equities,1387.49,0.0,1387.489990234375,No Reference Price Found
MTD,2023-05-31,TT_monthly_Trustmind,Equities,1321.87,0.0,1321.8699951171875,No Reference Price Found
MTD,2023-06-30,TT_monthly_Trustmind,Equities,1311.64,0.0,1311.6400146484375,No Reference Price Found
MTD,2022-10-31,TT_monthly_Trustmind,Equities,1264.93,0.0,1264.9300537109375,No Reference Price Found
MTD,2023-07-31,TT_monthly_Trustmind,Equities,1257.47,0.0,1257.469970703125,No Reference Price Found
MTD,2022-08-31,TT_monthly_Trustmind,Equities,1212.46,0.0,1212.4599609375,No Reference Price Found
MTD,2023-08-31,TT_monthly_Trustmind,Equities,1145.23,0.0,1145.22998046875,No Reference Price Found
MTD,2022-09-30,TT_monthly_Trustmind,Equities,1084.12,0.0,1084.1199951171875,No Reference Price Found
TDG,2023-07-31,Virtous,Equities,899.72,0.0,899.719970703125,No Reference Price Found
AVGO,2023-07-31,Leeder,Equities,898.65,0.0,898.6500244140625,No Reference Price Found
TDG,2023-06-30,Virtous,Equities,894.17,0.0,894.1699829101562,No Reference Price Found
FICO,2023-08-31,Belaware,Equities,883.59,0.0,883.5900268554688,No Reference Price Found
TDG,2023-08-31,Virtous,Equities,870.11,0.0,870.1099853515625,No Reference Price Found
AVGO,2023-06-30,Leeder,Equities,867.43,0.0,867.4299926757812,No Reference Price Found
AVGO,2023-08-31,Leeder,Equities,858.62,0.0,858.6199951171875,No Reference Price Found
FICO,2023-07-31,Belaware,Equities,837.97,0.0,837.969970703125,No Reference Price Found
REGN,2023-08-31,Applebead,Equities,836.56,0.0,836.5599975585938,No Reference Price Found
REGN,2023-03-31,Applebead,Equities,821.67,0.0,821.6699829101562,No Reference Price Found
FICO,2023-06-30,Belaware,Equities,809.21,0.0,809.2100219726562,No Reference Price Found
AVGO,2023-05-31,Leeder,Equities,803.68,0.0,803.6799926757812,No Reference Price Found
REGN,2023-04-30,Applebead,Equities,801.79,0.0,801.7899780273438,No Reference Price Found
FICO,2023-05-31,Belaware,Equities,787.67,0.0,787.6699829101562,No Reference Price Found
GWW,2023-06-30,Applebead,Equities,786.53,0.0,786.530029296875,No Reference Price Found
TDG,2023-05-31,Virtous,Equities,773.65,0.0,773.6500244140625,No Reference Price Found
TDG,2023-04-30,Virtous,Equities,765.0,0.0,765.0,No Reference Price Found
REGN,2023-02-28,Applebead,Equities,760.42,0.0,760.4199829101562,No Reference Price Found
REGN,2023-01-31,Applebead,Equities,758.47,0.0,758.469970703125,No Reference Price Found
REGN,2022-11-30,Applebead,Equities,751.7,0.0,751.7000122070312,No Reference Price Found
REGN,2022-10-31,Applebead,Equities,748.75,0.0,748.75,No Reference Price Found
BLK,2023-01-31,Virtous,Equities,748.25,0.0,748.25,No Reference Price Found
TDG,2023-02-28,Virtous,Equities,743.87,0.0,743.8699951171875,No Reference Price Found
GWW,2023-08-31,Applebead,Equities,742.12,0.0,742.1199951171875,No Reference Price Found
REGN,2023-07-31,Applebead,Equities,741.91,0.0,741.9099731445312,No Reference Price Found
BLK,2023-07-31,Virtous,Equities,738.85,0.0,738.8499755859375,No Reference Price Found
TDG,2023-03-31,Virtous,Equities,737.05,0.0,737.0499877929688,No Reference Price Found
GWW,2023-07-31,Applebead,Equities,736.56,0.0,736.5599975585938,No Reference Price Found
REGN,2023-05-31,Applebead,Equities,735.56,0.0,735.5599975585938,No Reference Price Found
FICO,2023-04-30,Belaware,Equities,727.95,0.0,727.9500122070312,No Reference Price Found
REGN,2022-12-31,Applebead,Equities,721.49,0.0,721.489990234375,No Reference Price Found
REGN,2023-06-30,Applebead,Equities,718.54,0.0,718.5399780273438,No Reference Price Found
TDG,2023-01-31,Virtous,Equities,717.75,0.0,717.75,No Reference Price Found
FICO,2023-03-31,Belaware,Equities,702.69,0.0,702.6900024414062,No Reference Price Found
BLK,2022-11-30,Virtous,Equities,700.83,0.0,700.8300170898438,No Reference Price Found
BLK,2022-12-31,Virtous,Equities,698.4,0.0,698.4000244140625,No Reference Price Found
GWW,2023-04-30,Applebead,Equities,691.82,0.0,691.8200073242188,No Reference Price Found
BLK,2023-06-30,Virtous,Equities,691.14,0.0,691.1400146484375,No Reference Price Found
REGN,2022-09-30,Applebead,Equities,688.87,0.0,688.8699951171875,No Reference Price Found
GWW,2023-03-31,Applebead,Equities,685.1,0.0,685.0999755859375,No Reference Price Found
BLK,2023-02-28,Virtous,Equities,679.48,0.0,679.47998046875,No Reference Price Found
FICO,2023-02-28,Belaware,Equities,677.39,0.0,677.3900146484375,No Reference Price Found
BLK,2023-04-30,Virtous,Equities,666.3,0.0,666.2999877929688,No Reference Price Found
FICO,2023-01-31,Belaware,Equities,665.95,0.0,665.9500122070312,No Reference Price Found
GWW,2023-02-28,Applebead,Equities,664.83,0.0,664.8300170898438,No Reference Price Found
BLK,2023-03-31,Virtous,Equities,664.24,0.0,664.239990234375,No Reference Price Found
BLK,2023-08-31,Virtous,Equities,658.12,0.0,658.1199951171875,No Reference Price Found
BLK,2023-05-31,Virtous,Equities,652.75,0.0,652.75,No Reference Price Found
BLK,2022-08-31,Virtous,Equities,647.46,0.0,647.4600219726562,No Reference Price Found
GWW,2023-05-31,Applebead,Equities,647.33,0.0,647.3300170898438,No Reference Price Found
AVGO,2023-03-31,Leeder,Equities,638.14,0.0,638.1400146484375,No Reference Price Found
BLK,2022-10-31,Virtous,Equities,632.22,0.0,632.219970703125,No Reference Price Found
TDG,2022-12-31,Virtous,Equities,629.65,0.0,629.6500244140625,No Reference Price Found
TDG,2022-11-30,Virtous,Equities,628.5,0.0,628.5,No Reference Price Found
AVGO,2023-04-30,Leeder,Equities,623.18,0.0,623.1799926757812,No Reference Price Found
FICO,2022-11-30,Belaware,Equities,619.72,0.0,619.719970703125,No Reference Price Found
TDG,2022-08-31,Virtous,Equities,600.39,0.0,600.3900146484375,No Reference Price Found
FICO,2022-12-31,Belaware,Equities,598.58,0.0,598.5800170898438,No Reference Price Found
GWW,2022-11-30,Applebead,Equities,598.25,0.0,598.25,No Reference Price Found
AVGO,2023-02-28,Leeder,Equities,586.92,0.0,586.9199829101562,No Reference Price Found
GWW,2023-01-31,Applebead,Equities,584.78,0.0,584.780029296875,No Reference Price Found
LLY,2023-08-31,Applebead,Equities,583.21,0.0,583.2100219726562,No Reference Price Found
REGN,2022-08-31,Applebead,Equities,581.06,0.0,581.0599975585938,No Reference Price Found
GWW,2022-10-31,Applebead,Equities,578.0,0.0,578.0,No Reference Price Found
AVGO,2023-01-31,Leeder,Equities,577.75,0.0,577.75,No Reference Price Found
TMO,2023-03-31,Fund Whitestone,Equities,575.99,0.0,575.989990234375,No Reference Price Found
TDG,2022-10-31,Virtous,Equities,575.76,0.0,575.760009765625,No Reference Price Found
TMO,2023-01-31,Fund Whitestone,Equities,569.58,0.0,569.5800170898438,No Reference Price Found
COST,2023-07-31,Leeder,Equities,559.61,0.0,559.6099853515625,No Reference Price Found
MPWR,2023-07-31,TT_monthly_Trustmind,Equities,559.49,0.0,559.489990234375,No Reference Price Found
TMO,2022-11-30,Fund Whitestone,Equities,559.19,0.0,559.1900024414062,No Reference Price Found
MSCI,2023-03-31,Leeder,Equities,556.66,0.0,556.6599731445312,No Reference Price Found
HUM,2022-10-31,rpt-Catalysm,Equities,555.11,0.0,555.1099853515625,No Reference Price Found
IDXX,2023-07-31,Magnum,Equities,554.73,0.0,554.72998046875,No Reference Price Found
TMO,2023-04-30,Fund Whitestone,Equities,554.53,0.0,554.530029296875,No Reference Price Found
AVGO,2022-12-31,Leeder,Equities,552.19,0.0,552.1900024414062,No Reference Price Found
GWW,2022-12-31,Applebead,Equities,551.81,0.0,551.8099975585938,No Reference Price Found
ULTA,2023-04-30,Fund Whitestone,Equities,551.43,0.0,551.4299926757812,No Reference Price Found
TMO,2022-12-31,Fund Whitestone,Equities,549.97,0.0,549.969970703125,No Reference Price Found
GWW,2022-08-31,Applebead,Equities,548.91,0.0,548.9099731445312,No Reference Price Found
TMO,2023-07-31,Fund Whitestone,Equities,548.66,0.0,548.6599731445312,No Reference Price Found
HUM,2022-11-30,rpt-Catalysm,Equities,546.97,0.0,546.969970703125,No Reference Price Found
MSCI,2023-07-31,Leeder,Equities,546.7,0.0,546.7000122070312,No Reference Price Found
ADBE,2023-07-31,Report-of-Gohen,Equities,546.17,0.0,546.1699829101562,No Reference Price Found
ULTA,2023-03-31,Fund Whitestone,Equities,545.67,0.0,545.6699829101562,No Reference Price Found
TMO,2022-08-31,Fund Whitestone,Equities,544.03,0.0,544.030029296875,No Reference Price Found
TMO,2023-02-28,Fund Whitestone,Equities,541.05,0.0,541.0499877929688,No Reference Price Found
NOC,2022-10-31,Magnum,Equities,540.5,0.0,540.5,No Reference Price Found
MPWR,2023-06-30,TT_monthly_Trustmind,Equities,540.23,0.0,540.22998046875,No Reference Price Found
AVGO,2022-11-30,Leeder,Equities,539.69,0.0,539.6900024414062,No Reference Price Found
NOC,2022-12-31,Magnum,Equities,538.94,0.0,538.9400024414062,No Reference Price Found
BLK,2022-09-30,Virtous,Equities,538.62,0.0,538.6199951171875,No Reference Price Found
COST,2023-06-30,Leeder,Equities,537.36,0.0,537.3599853515625,No Reference Price Found
COST,2022-11-30,Leeder,Equities,536.18,0.0,536.1799926757812,No Reference Price Found
HUM,2023-04-30,rpt-Catalysm,Equities,529.43,0.0,529.4299926757812,No Reference Price Found
MSCI,2023-01-31,Leeder,Equities,527.39,0.0,527.3900146484375,No Reference Price Found
NOC,2022-11-30,Magnum,Equities,526.77,0.0,526.77001953125,No Reference Price Found
TDG,2022-09-30,Virtous,Equities,524.82,0.0,524.8200073242188,No Reference Price Found
HUM,2023-08-31,rpt-Catalysm,Equities,521.76,0.0,521.760009765625,No Reference Price Found
TMO,2023-06-30,Fund Whitestone,Equities,521.75,0.0,521.75,No Reference Price Found
COST,2023-08-31,Leeder,Equities,520.55,0.0,520.5499877929688,No Reference Price Found
ADBE,2023-08-31,Report-of-Gohen,Equities,520.17,0.0,520.1699829101562,No Reference Price Found
TMO,2023-08-31,Fund Whitestone,Equities,519.63,0.0,519.6300048828125,No Reference Price Found
MSCI,2023-02-28,Leeder,Equities,519.32,0.0,519.3200073242188,No Reference Price Found
ULTA,2023-02-28,Fund Whitestone,Equities,518.8,0.0,518.7999877929688,No Reference Price Found
COST,2022-08-31,Leeder,Equities,518.19,0.0,518.1900024414062,No Reference Price Found
ULTA,2023-01-31,Fund Whitestone,Equities,513.96,0.0,513.9600219726562,No Reference Price Found
TMO,2022-10-31,Fund Whitestone,Equities,513.03,0.0,513.030029296875,No Reference Price Found
KLAC,2023-07-31,Magnum,Equities,512.56,0.0,512.5599975585938,No Reference Price Found
COST,2023-05-31,Leeder,Equities,510.6,0.0,510.6000061035156,No Reference Price Found
HUM,2022-12-31,rpt-Catalysm,Equities,510.24,0.0,510.239990234375,No Reference Price Found
HUM,2023-01-31,rpt-Catalysm,Equities,509.75,0.0,509.75,No Reference Price Found
COST,2023-01-31,Leeder,Equities,508.23,0.0,508.2300109863281,No Reference Price Found
TMO,2023-05-31,Fund Whitestone,Equities,508.12,0.0,508.1199951171875,No Reference Price Found
TMO,2022-09-30,Fund Whitestone,Equities,506.26,0.0,506.260009765625,No Reference Price Found
MSCI,2022-11-30,Leeder,Equities,503.85,0.0,503.8500061035156,No Reference Price Found
IDXX,2023-06-30,Magnum,Equities,502.23,0.0,502.2300109863281,No Reference Price Found
COST,2023-04-30,Leeder,Equities,501.23,0.0,501.2300109863281,No Reference Price Found
HUM,2023-05-31,rpt-Catalysm,Equities,500.87,0.0,500.8699951171875,No Reference Price Found
CTAS,2023-07-31,Belaware,Equities,500.66,0.0,500.6600036621094,No Reference Price Found
IDXX,2023-03-31,Magnum,Equities,500.08,0.0,500.0799865722656,No Reference Price Found
MPWR,2023-03-31,TT_monthly_Trustmind,Equities,499.59,0.0,499.5899963378906,No Reference Price Found
CTAS,2023-08-31,Belaware,Equities,498.65,0.0,498.6499938964844,No Reference Price Found
COST,2022-10-31,Leeder,Equities,498.64,0.0,498.6400146484375,No Reference Price Found
MPWR,2023-08-31,TT_monthly_Trustmind,Equities,498.31,0.0,498.30999755859375,No Reference Price Found
KLAC,2023-08-31,Magnum,Equities,497.87,0.0,497.8699951171875,No Reference Price Found
CTAS,2023-06-30,Belaware,Equities,495.71,0.0,495.7099914550781,No Reference Price Found
COST,2023-03-31,Leeder,Equities,494.9,0.0,494.8999938964844,No Reference Price Found
HUM,2023-02-28,rpt-Catalysm,Equities,493.14,0.0,493.1400146484375,No Reference Price Found
IDXX,2023-04-30,Magnum,Equities,492.16,0.0,492.1600036621094,No Reference Price Found
NVDA,2023-08-31,Magnum,Equities,490.57,0.0,490.57000732421875,No Reference Price Found
ADBE,2023-06-30,Report-of-Gohen,Equities,488.99,0.0,488.989990234375,No Reference Price Found
MPWR,2023-05-31,TT_monthly_Trustmind,Equities,488.98,0.0,488.9800109863281,No Reference Price Found
IDXX,2023-08-31,Magnum,Equities,486.67,0.0,486.6700134277344,No Reference Price Found
AVGO,2022-08-31,Leeder,Equities,484.77,0.0,484.7699890136719,No Reference Price Found
HUM,2023-03-31,rpt-Catalysm,Equities,484.49,0.0,484.489990234375,No Reference Price Found
GWW,2022-09-30,Applebead,Equities,483.87,0.0,483.8699951171875,No Reference Price Found
KLAC,2023-06-30,Magnum,Equities,483.7,0.0,483.70001220703125,No Reference Price Found
HUM,2022-09-30,rpt-Catalysm,Equities,482.6,0.0,482.6000061035156,No Reference Price Found
MPWR,2023-02-28,TT_monthly_Trustmind,Equities,482.39,0.0,482.3900146484375,No Reference Price Found
COST,2023-02-28,Leeder,Equities,482.26,0.0,482.260009765625,No Reference Price Found
IDXX,2023-01-31,Magnum,Equities,480.5,0.0,480.5,No Reference Price Found
LMT,2022-12-31,rpt-Catalysm,Equities,480.21,0.0,480.2099914550781,No Reference Price Found
MSCI,2023-04-30,Leeder,Equities,479.84,0.0,479.8399963378906,No Reference Price Found
LMT,2022-11-30,Leeder,Equities,478.93,0.0,478.92999267578125,No Reference Price Found
FICO,2022-10-31,Belaware,Equities,478.84,0.0,478.8399963378906,No Reference Price Found
HUM,2022-08-31,rpt-Catalysm,Equities,478.45,0.0,478.45001220703125,No Reference Price Found
LMT,2022-10-31,Leeder,Equities,477.42,0.0,477.4200134277344,No Reference Price Found
IDXX,2023-02-28,Magnum,Equities,473.24,0.0,473.239990234375,No Reference Price Found
MSCI,2023-08-31,Leeder,Equities,471.1,0.0,471.1000061035156,No Reference Price Found
LMT,2023-02-28,Leeder,Equities,471.08,0.0,471.0799865722656,No Reference Price Found
CTAS,2023-05-31,Belaware,Equities,470.84,0.0,470.8399963378906,No Reference Price Found
ULTA,2023-06-30,Fund Whitestone,Equities,470.6,0.0,470.6000061035156,No Reference Price Found
NOC,2022-08-31,Magnum,Equities,470.58,0.0,470.5799865722656,No Reference Price Found
LMT,2023-03-31,Leeder,Equities,469.56,0.0,469.55999755859375,No Reference Price Found
MSCI,2023-05-31,Leeder,Equities,469.34,0.0,469.3399963378906,No Reference Price Found
ULTA,2022-12-31,Fund Whitestone,Equities,469.07,0.0,469.07000732421875,No Reference Price Found
COST,2022-09-30,Leeder,Equities,468.73,0.0,468.7300109863281,No Reference Price Found
MSCI,2023-06-30,Leeder,Equities,468.1,0.0,468.1000061035156,No Reference Price Found
LLY,2023-06-30,Applebead,Equities,467.98,0.0,467.9800109863281,No Reference Price Found
NVDA,2023-07-31,Magnum,Equities,467.29,0.0,467.2900085449219,No Reference Price Found
ULTA,2022-11-30,Fund Whitestone,Equities,464.84,0.0,464.8399963378906,No Reference Price Found
IDXX,2023-05-31,Magnum,Equities,464.77,0.0,464.7699890136719,No Reference Price Found
MSCI,2022-10-31,Leeder,Equities,463.94,0.0,463.94000244140625,No Reference Price Found
NOC,2022-09-30,Magnum,Equities,463.03,0.0,463.0299987792969,No Reference Price Found
MLM,2023-06-30,Magnum,Equities,461.69,0.0,461.69000244140625,No Reference Price Found
MSCI,2022-12-31,Leeder,Equities,461.52,0.0,461.5199890136719,No Reference Price Found
LMT,2023-04-30,Leeder,Equities,461.34,0.0,461.3399963378906,No Reference Price Found
MPWR,2023-04-30,TT_monthly_Trustmind,Equities,461.09,0.0,461.0899963378906,No Reference Price Found
AVGO,2022-10-31,Leeder,Equities,460.45,0.0,460.45001220703125,No Reference Price Found
LMT,2023-06-30,Leeder,Equities,460.38,0.0,460.3800048828125,No Reference Price Found
CTAS,2023-03-31,Belaware,Equities,460.29,0.0,460.2900085449219,No Reference Price Found
NOC,2023-02-28,Magnum,Equities,460.11,0.0,460.1099853515625,No Reference Price Found
CHTR,2023-08-31,Leeder,Equities,459.12,0.0,459.1199951171875,No Reference Price Found
CTAS,2022-11-30,Belaware,Equities,458.21,0.0,458.2099914550781,No Reference Price Found
NOC,2023-03-31,Magnum,Equities,457.74,0.0,457.739990234375,No Reference Price Found
NOC,2023-04-30,Magnum,Equities,457.29,0.0,457.2900085449219,No Reference Price Found
LMT,2023-01-31,Leeder,Equities,457.28,0.0,457.2799987792969,No Reference Price Found
HUM,2023-07-31,rpt-Catalysm,Equities,456.83,0.0,456.8299865722656,No Reference Price Found
COST,2022-12-31,Leeder,Equities,453.9,0.0,453.8999938964844,No Reference Price Found
NOC,2023-06-30,Magnum,Equities,453.83,0.0,453.8299865722656,No Reference Price Found
LLY,2023-07-31,Applebead,Equities,453.58,0.0,453.5799865722656,No Reference Price Found
GB00B0CNHZ09,2022-11-30,Report-of-Gohen,Government Bond,453.56,0.0,453.55999755859375,No Reference Price Found
CTAS,2023-04-30,Belaware,Equities,453.41,0.0,453.4100036621094,No Reference Price Found
MLM,2023-08-31,Magnum,Equities,453.0,0.0,453.0,No Reference Price Found
GB00B0CNHZ09,2022-10-31,Report-of-Gohen,Government Bond,452.36,0.0,452.3599853515625,No Reference Price Found
GB00B0CNHZ09,2022-12-31,Report-of-Gohen,Government Bond,451.68,0.0,451.67999267578125,No Reference Price Found
GB00B0CNHZ09,2022-08-31,Report-of-Gohen,Government Bond,451.65,0.0,451.6499938964844,No Reference Price Found
GB00B0CNHZ09,2023-02-28,Report-of-Gohen,Government Bond,451.59,0.0,451.5899963378906,No Reference Price Found
GB00B0CNHZ09,2023-07-31,Report-of-Gohen,Government Bond,451.56,0.0,451.55999755859375,No Reference Price Found
GB00B0CNHZ09,2023-05-31,Report-of-Gohen,Government Bond,451.47,0.0,451.4700012207031,No Reference Price Found
GB00B0CNHZ09,2023-04-30,Report-of-Gohen,Government Bond,451.39,0.0,451.3900146484375,No Reference Price Found
GB00B0CNHZ09,2023-01-31,Report-of-Gohen,Government Bond,451.26,0.0,451.260009765625,No Reference Price Found
GB00B0CNHZ09,2023-08-31,Report-of-Gohen,Government Bond,451.06,0.0,451.05999755859375,No Reference Price Found
GB00B0CNHZ09,2023-03-31,Report-of-Gohen,Government Bond,450.92,0.0,450.9200134277344,No Reference Price Found
GB00B0CNHZ09,2022-09-30,Report-of-Gohen,Government Bond,450.74,0.0,450.739990234375,No Reference Price Found
GB00B0CNHZ09,2023-06-30,Report-of-Gohen,Government Bond,450.45,0.0,450.45001220703125,No Reference Price Found
MPWR,2022-08-31,TT_monthly_Trustmind,Equities,449.51,0.0,449.510009765625,No Reference Price Found
FICO,2022-08-31,Belaware,Equities,449.4,0.0,449.3999938964844,No Reference Price Found
CTAS,2022-12-31,Belaware,Equities,448.13,0.0,448.1300048828125,No Reference Price Found
TDY,2023-03-31,Virtous,Equities,447.36,0.0,447.3599853515625,No Reference Price Found
HUM,2023-06-30,rpt-Catalysm,Equities,447.13,0.0,447.1300048828125,No Reference Price Found
MLM,2023-07-31,Magnum,Equities,446.46,0.0,446.4599914550781,No Reference Price Found
LMT,2023-07-31,Leeder,Equities,446.37,0.0,446.3699951171875,No Reference Price Found
ULTA,2023-07-31,Fund Whitestone,Equities,444.8,0.0,444.79998779296875,No Reference Price Found
MSCI,2022-08-31,Leeder,Equities,444.53,0.0,444.5299987792969,No Reference Price Found
LMT,2023-05-31,Leeder,Equities,444.01,0.0,444.010009765625,No Reference Price Found
NOC,2023-07-31,Magnum,Equities,443.07,0.0,443.07000732421875,No Reference Price Found
NOC,2023-01-31,Magnum,Equities,442.56,0.0,442.55999755859375,No Reference Price Found
KLAC,2023-05-31,Magnum,Equities,441.79,0.0,441.7900085449219,No Reference Price Found
NFLX,2023-06-30,Magnum,Equities,440.49,0.0,440.489990234375,No Reference Price Found
CTAS,2023-01-31,Belaware,Equities,440.31,0.0,440.30999755859375,No Reference Price Found
NFLX,2023-07-31,Magnum,Equities,438.97,0.0,438.9700012207031,No Reference Price Found
LMT,2023-08-31,Leeder,Equities,438.83,0.0,438.8299865722656,No Reference Price Found
CTAS,2023-02-28,Belaware,Equities,436.2,0.0,436.20001220703125,No Reference Price Found
AVGO,2022-09-30,Leeder,Equities,434.87,0.0,434.8699951171875,No Reference Price Found
NOC,2023-05-31,Magnum,Equities,433.61,0.0,433.6099853515625,No Reference Price Found
TDY,2023-02-28,Virtous,Equities,430.07,0.0,430.07000732421875,No Reference Price Found
LLY,2023-05-31,Belaware,Equities,428.54,0.0,428.5400085449219,No Reference Price Found
MCK,2023-06-30,Magnum,Equities,427.31,0.0,427.30999755859375,No Reference Price Found
EPAM,2022-08-31,rpt-Catalysm,Equities,426.5,0.0,426.5,No Reference Price Found
IDXX,2022-11-30,Magnum,Equities,425.87,0.0,425.8699951171875,No Reference Price Found
MPWR,2023-01-31,TT_monthly_Trustmind,Equities,424.88,0.0,424.8800048828125,No Reference Price Found
TDY,2023-01-31,Virtous,Equities,424.26,0.0,424.260009765625,No Reference Price Found
CTAS,2022-10-31,Belaware,Equities,423.15,0.0,423.1499938964844,No Reference Price Found
NVDA,2023-06-30,Magnum,Equities,423.02,0.0,423.0199890136719,No Reference Price Found
NOC,2023-08-31,Magnum,Equities,421.12,0.0,421.1199951171875,No Reference Price Found
TDY,2022-11-30,Virtous,Equities,420.1,0.0,420.1000061035156,No Reference Price Found
ULTA,2022-08-31,Fund Whitestone,Equities,419.87,0.0,419.8699951171875,No Reference Price Found
ODFL,2023-07-31,Applebead,Equities,419.49,0.0,419.489990234375,No Reference Price Found
ULTA,2022-10-31,Fund Whitestone,Equities,419.37,0.0,419.3699951171875,No Reference Price Found
ADBE,2023-05-31,Report-of-Gohen,Equities,417.79,0.0,417.7900085449219,No Reference Price Found
MSCI,2022-09-30,Leeder,Equities,417.37,0.0,417.3699951171875,No Reference Price Found
MCK,2023-08-31,Magnum,Equities,416.42,0.0,416.4200134277344,No Reference Price Found
TDY,2023-04-30,Virtous,Equities,414.4,0.0,414.3999938964844,No Reference Price Found
CHTR,2022-08-31,Leeder,Equities,412.63,0.0,412.6300048828125,No Reference Price Found
LMT,2022-08-31,rpt-Catalysm,Equities,412.12,0.0,412.1199951171875,No Reference Price Found
FICO,2022-09-30,Belaware,Equities,412.01,0.0,412.010009765625,No Reference Price Found
PH,2023-08-31,Belaware,Equities,411.47,0.0,411.4700012207031,No Reference Price Found
NFLX,2023-08-31,Magnum,Equities,411.13,0.0,411.1300048828125,No Reference Price Found
TDY,2023-06-30,Virtous,Equities,411.11,0.0,411.1099853515625,No Reference Price Found
ULTA,2023-05-31,Fund Whitestone,Equities,409.83,0.0,409.8299865722656,No Reference Price Found
